Station Name,Jurisdiction,TOD Place Type,Development Market,Transit Score,TOD Zoning Score,Opportunity Score,Weekday Ridership: MARC Penn
New Carrollton,Prince Georges County,"Town, Suburban, or Employment Center",1.0,3.0,4.0,13.0,960.33
BWI Rail Station,Anne Arundel County,"Town, Suburban, or Employment Center",1.0,3.0,1.0,13.0,1889.08
Bowie State,Prince Georges County,"Town, Suburban, or Employment Center",1.0,3.0,2.0,13.0,652.17
Seabrook,Prince Georges County,"Town, Suburban, or Employment Center",1.0,2.0,3.0,12.0,431.08
Martin State Airport,Baltimore County,"Town, Suburban, or Employment Center",1.0,2.0,4.0,12.0,391.83
Edgewood,Harford County,Village Center or Rural Town,1.0,1.0,3.0,11.0,301.33
Perryville,City of Perryville,"Town, Suburban, or Employment Center",1.0,1.0,3.0,11.0,153.67
West Baltimore,Baltimore City,Urban Neighborhood,2.0,2.0,5.0,10.0,750.58
Halethorpe,Baltimore County,"Town, Suburban, or Employment Center",3.0,2.0,2.0,8.0,1418.75
Aberdeen,Harford County,"Town, Suburban, or Employment Center",3.0,1.0,4.0,7.0,204.58
Penn Station,Baltimore City,Downtown,5.0,3.0,5.0,5.0,3712.92
Odenton,Anne Arundel County,"Town, Suburban, or Employment Center",5.0,3.0,3.0,5.0,2815.58
